[Header]
Data File Name	P:\2021\Изучение керна скв 26 з-н 89_20-ЗН\скв26\Новая папка\22a_E_02_0.01504_fid.gcd
Output Date	31.08.2021
Output Time	9:12:05

[File Information]
Type	Data File
Generated	17.08.2021 12:56:06
Generated by	Admin
Modified	17.08.2021 13:25:51
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	17.08.2021 13:05:46
Type	
Level	1
Sample Name	26p_16a
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCMSsolution\Data\Project1\PYR\2021\skv26\after extraction\Analysis\22a_E_02_0.015_fid.gcd
Method File	C:\GCMSsolution\Data\Project1\PYR\Method\NEW_PYR_20_min_split37_apc1-1.qgm
Batch File	C:\GCMSsolution\Data\Project1\PYR\2021\skv26\after extraction\Analysis\Analysis_14_08.qgb
Report Format File	

[File Comment]



[Configration]
Instrument Name	GCMS-QP2020
Instrument #	1
Line #	1

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	30000
Start Time(min)	0.000
End Time(min)	20.000
R.Time	Intensity
0.00033	-1686
0.00100	-1686
0.00167	-1687
0.00233	-1687
0.00300	-1687
0.00367	-1687
0.00433	-1687
0.00500	-1687
0.00567	-1688
0.00633	-1688
0.00700	-1688
0.00767	-1689
0.00833	-1689
0.00900	-1689
0.00967	-1689
0.01033	-1689
0.01100	-1689
0.01167	-1690
0.01233	-1691
0.01300	-1691
0.01367	-1692
0.01433	-1693
0.01500	-1694
0.01567	-1694
0.01633	-1694
0.01700	-1694
0.01767	-1695
0.01833	-1696
0.01900	-1697
0.01967	-1698
0.02033	-1699
0.02100	-1699
0.02167	-1701
0.02233	-1702
0.02300	-1703
0.02367	-1705
0.02433	-1705
0.02500	-1706
0.02567	-1707
0.02633	-1707
0.02700	-1708
0.02767	-1708
0.02833	-1708
0.02900	-1707
0.02967	-1707
0.03033	-1707
0.03100	-1707
0.03167	-1707
0.03233	-1707
0.03300	-1707
0.03367	-1707
0.03433	-1708
0.03500	-1709
0.03567	-1710
0.03633	-1711
0.03700	-1712
0.03767	-1713
0.03833	-1714
0.03900	-1715
0.03967	-1716
0.04033	-1717
0.04100	-1719
0.04167	-1720
0.04233	-1721
0.04300	-1722
0.04367	-1724
0.04433	-1725
0.04500	-1726
0.04567	-1727
0.04633	-1727
0.04700	-1728
0.04767	-1728
0.04833	-1729
0.04900	-1730
0.04967	-1730
0.05033	-1731
0.05100	-1731
0.05167	-1731
0.05233	-1731
0.05300	-1731
0.05367	-1731
0.05433	-1730
0.05500	-1730
0.05567	-1729
0.05633	-1729
0.05700	-1729
0.05767	-1729
0.05833	-1729
0.05900	-1729
0.05967	-1729
0.06033	-1728
0.06100	-1728
0.06167	-1727
0.06233	-1726
0.06300	-1726
0.06367	-1725
0.06433	-1725
0.06500	-1725
0.06567	-1725
0.06633	-1724
0.06700	-1724
0.06767	-1723
0.06833	-1722
0.06900	-1721
0.06967	-1721
0.07033	-1720
0.07100	-1720
0.07167	-1719
0.07233	-1719
0.07300	-1719
0.07367	-1718
0.07433	-1718
0.07500	-1718
0.07567	-1718
0.07633	-1718
0.07700	-1718
0.07767	-1717
0.07833	-1717
0.07900	-1717
0.07967	-1717
0.08033	-1717
0.08100	-1718
0.08167	-1718
0.08233	-1718
0.08300	-1719
0.08367	-1719
0.08433	-1720
0.08500	-1720
0.08567	-1720
0.08633	-1721
0.08700	-1721
0.08767	-1722
0.08833	-1722
0.08900	-1723
0.08967	-1723
0.09033	-1723
0.09100	-1722
0.09167	-1722
0.09233	-1721
0.09300	-1720
0.09367	-1719
0.09433	-1718
0.09500	-1717
0.09567	-1717
0.09633	-1716
0.09700	-1716
0.09767	-1716
0.09833	-1716
0.09900	-1715
0.09967	-1715
0.10033	-1714
0.10100	-1714
0.10167	-1713
0.10233	-1712
0.10300	-1711
0.10367	-1709
0.10433	-1707
0.10500	-1704
0.10567	-1701
0.10633	-1697
0.10700	-1693
0.10767	-1688
0.10833	-1683
0.10900	-1676
0.10967	-1669
0.11033	-1662
0.11100	-1653
0.11167	-1643
0.11233	-1631
0.11300	-1616
0.11367	-1599
0.11433	-1580
0.11500	-1558
0.11567	-1536
0.11633	-1512
0.11700	-1487
0.11767	-1462
0.11833	-1436
0.11900	-1410
0.11967	-1383
0.12033	-1356
0.12100	-1328
0.12167	-1300
0.12233	-1272
0.12300	-1243
0.12367	-1215
0.12433	-1187
0.12500	-1159
0.12567	-1131
0.12633	-1104
0.12700	-1075
0.12767	-1047
0.12833	-1018
0.12900	-987
0.12967	-955
0.13033	-922
0.13100	-886
0.13167	-848
0.13233	-804
0.13300	-756
0.13367	-699
0.13433	-634
0.13500	-558
0.13567	-470
0.13633	-369
0.13700	-255
0.13767	-128
0.13833	13
0.13900	167
0.13967	334
0.14033	513
0.14100	705
0.14167	908
0.14233	1122
0.14300	1346
0.14367	1580
0.14433	1823
0.14500	2074
0.14567	2332
0.14633	2596
0.14700	2865
0.14767	3137
0.14833	3413
0.14900	3691
0.14967	3972
0.15033	4256
0.15100	4543
0.15167	4834
0.15233	5128
0.15300	5427
0.15367	5731
0.15433	6041
0.15500	6357
0.15567	6681
0.15633	7014
0.15700	7357
0.15767	7711
0.15833	8076
0.15900	8453
0.15967	8842
0.16033	9244
0.16100	9660
0.16167	10090
0.16233	10535
0.16300	10994
0.16367	11470
0.16433	11962
0.16500	12473
0.16567	13001
0.16633	13547
0.16700	14112
0.16767	14698
0.16833	15302
0.16900	15926
0.16967	16570
0.17033	17233
0.17100	17915
0.17167	18618
0.17233	19341
0.17300	20085
0.17367	20850
0.17433	21636
0.17500	22441
0.17567	23268
0.17633	24114
0.17700	24980
0.17767	25865
0.17833	26769
0.17900	27690
0.17967	28628
0.18033	29584
0.18100	30558
0.18167	31548
0.18233	32553
0.18300	33573
0.18367	34606
0.18433	35651
0.18500	36708
0.18567	37774
0.18633	38851
0.18700	39936
0.18767	41031
0.18833	42135
0.18900	43245
0.18967	44365
0.19033	45491
0.19100	46621
0.19167	47757
0.19233	48897
0.19300	50039
0.19367	51183
0.19433	52329
0.19500	53476
0.19567	54624
0.19633	55772
0.19700	56918
0.19767	58061
0.19833	59200
0.19900	60335
0.19967	61465
0.20033	62587
0.20100	63704
0.20167	64813
0.20233	65913
0.20300	67004
0.20367	68086
0.20433	69158
0.20500	70220
0.20567	71270
0.20633	72308
0.20700	73333
0.20767	74341
0.20833	75336
0.20900	76317
0.20967	77282
0.21033	78232
0.21100	79167
0.21167	80085
0.21233	80989
0.21300	81877
0.21367	82750
0.21433	83606
0.21500	84445
0.21567	85267
0.21633	86071
0.21700	86858
0.21767	87629
0.21833	88383
0.21900	89121
0.21967	89841
0.22033	90544
0.22100	91230
0.22167	91901
0.22233	92554
0.22300	93188
0.22367	93803
0.22433	94396
0.22500	94973
0.22567	95536
0.22633	96084
0.22700	96616
0.22767	97134
0.22833	97636
0.22900	98123
0.22967	98594
0.23033	99049
0.23100	99489
0.23167	99915
0.23233	100325
0.23300	100721
0.23367	101102
0.23433	101470
0.23500	101824
0.23567	102165
0.23633	102493
0.23700	102807
0.23767	103108
0.23833	103394
0.23900	103667
0.23967	103926
0.24033	104174
0.24100	104413
0.24167	104641
0.24233	104858
0.24300	105062
0.24367	105256
0.24433	105440
0.24500	105612
0.24567	105774
0.24633	105925
0.24700	106064
0.24767	106190
0.24833	106307
0.24900	106412
0.24967	106508
0.25033	106595
0.25100	106674
0.25167	106744
0.25233	106805
0.25300	106857
0.25367	106898
0.25433	106932
0.25500	106956
0.25567	106971
0.25633	106978
0.25700	106978
0.25767	106971
0.25833	106956
0.25900	106936
0.25967	106908
0.26033	106873
0.26100	106830
0.26167	106778
0.26233	106720
0.26300	106654
0.26367	106582
0.26433	106507
0.26500	106426
0.26567	106339
0.26633	106245
0.26700	106143
0.26767	106037
0.26833	105926
0.26900	105811
0.26967	105691
0.27033	105566
0.27100	105434
0.27167	105296
0.27233	105154
0.27300	105007
0.27367	104854
0.27433	104697
0.27500	104534
0.27567	104367
