[Header]
Data File Name	P:\2021\Изучение керна скв 26 з-н 89_20-ЗН\скв26\Новая папка\22b_E_03_0.01494_fid.gcd
Output Date	31.08.2021
Output Time	9:12:18

[File Information]
Type	Data File
Generated	17.08.2021 16:12:47
Generated by	Admin
Modified	17.08.2021 16:45:17
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	17.08.2021 16:25:12
Type	
Level	1
Sample Name	26p_22b
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCMSsolution\Data\Project1\PYR\2021\skv26\after extraction\Analysis\22b_E_03_0.015_fid.gcd
Method File	C:\GCMSsolution\Data\Project1\PYR\Method\NEW_PYR_20_min_split37_apc1-1.qgm
Batch File	C:\GCMSsolution\Data\Project1\PYR\2021\skv26\after extraction\Analysis\Analysis_14_08.qgb
Report Format File	

[File Comment]



[Configration]
Instrument Name	GCMS-QP2020
Instrument #	1
Line #	1

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	30000
Start Time(min)	0.001
End Time(min)	20.001
R.Time	Intensity
0.00067	-1745
0.00133	-1746
0.00200	-1746
0.00267	-1746
0.00333	-1747
0.00400	-1748
0.00467	-1748
0.00533	-1749
0.00600	-1750
0.00667	-1751
0.00733	-1751
0.00800	-1752
0.00867	-1754
0.00933	-1755
0.01000	-1757
0.01067	-1758
0.01133	-1758
0.01200	-1759
0.01267	-1760
0.01333	-1761
0.01400	-1762
0.01467	-1763
0.01533	-1764
0.01600	-1766
0.01667	-1767
0.01733	-1769
0.01800	-1770
0.01867	-1771
0.01933	-1772
0.02000	-1773
0.02067	-1774
0.02133	-1775
0.02200	-1775
0.02267	-1776
0.02333	-1777
0.02400	-1778
0.02467	-1779
0.02533	-1780
0.02600	-1781
0.02667	-1781
0.02733	-1782
0.02800	-1783
0.02867	-1784
0.02933	-1785
0.03000	-1786
0.03067	-1787
0.03133	-1788
0.03200	-1789
0.03267	-1790
0.03333	-1791
0.03400	-1792
0.03467	-1793
0.03533	-1793
0.03600	-1794
0.03667	-1795
0.03733	-1796
0.03800	-1797
0.03867	-1799
0.03933	-1800
0.04000	-1802
0.04067	-1804
0.04133	-1805
0.04200	-1807
0.04267	-1808
0.04333	-1810
0.04400	-1812
0.04467	-1813
0.04533	-1815
0.04600	-1817
0.04667	-1819
0.04733	-1821
0.04800	-1823
0.04867	-1825
0.04933	-1827
0.05000	-1828
0.05067	-1830
0.05133	-1831
0.05200	-1832
0.05267	-1833
0.05333	-1834
0.05400	-1835
0.05467	-1836
0.05533	-1837
0.05600	-1838
0.05667	-1839
0.05733	-1840
0.05800	-1840
0.05867	-1840
0.05933	-1840
0.06000	-1840
0.06067	-1840
0.06133	-1839
0.06200	-1839
0.06267	-1839
0.06333	-1838
0.06400	-1838
0.06467	-1838
0.06533	-1837
0.06600	-1836
0.06667	-1836
0.06733	-1836
0.06800	-1835
0.06867	-1835
0.06933	-1835
0.07000	-1835
0.07067	-1835
0.07133	-1835
