[Header]
Data File Name	P:\2021\Изучение керна скв 26 з-н 89_20-ЗН\скв26\Новая папка\grad]\ST_05_0.015_fid.gcd
Output Date	26.08.2021
Output Time	14:25:35

[File Information]
Type	Data File
Generated	09.08.2021 7:33:13
Generated by	Admin
Modified	09.08.2021 8:08:37
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	09.08.2021 7:48:32
Type	
Level	1
Sample Name	ST
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCMSsolution\Data\Project1\PYR\2021\skv26\after extraction\grad]\ST_05_0.015_fid.gcd
Method File	C:\GCMSsolution\Data\Project1\PYR\Method\NEW_PYR_20_min_split37_apc1-1.qgm
Batch File	C:\GCMSsolution\Data\Project1\PYR\2021\skv26\after extraction\grad]\Grad_06_08.qgb
Report Format File	

[File Comment]



[Configration]
Instrument Name	GCMS-QP2020
Instrument #	1
Line #	1

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	30000
Start Time(min)	0.001
End Time(min)	20.001
R.Time	Intensity
0.00067	-3554
0.00133	-3554
0.00200	-3553
0.00267	-3553
0.00333	-3553
0.00400	-3552
0.00467	-3552
0.00533	-3551
0.00600	-3551
0.00667	-3551
0.00733	-3551
0.00800	-3551
0.00867	-3551
0.00933	-3552
0.01000	-3553
0.01067	-3554
0.01133	-3554
0.01200	-3554
0.01267	-3555
0.01333	-3555
0.01400	-3555
0.01467	-3555
0.01533	-3556
0.01600	-3556
0.01667	-3557
0.01733	-3558
0.01800	-3559
0.01867	-3560
0.01933	-3560
0.02000	-3561
0.02067	-3561
0.02133	-3561
0.02200	-3561
0.02267	-3561
0.02333	-3561
0.02400	-3561
0.02467	-3561
0.02533	-3560
0.02600	-3560
0.02667	-3559
0.02733	-3558
0.02800	-3557
0.02867	-3556
0.02933	-3555
0.03000	-3554
0.03067	-3553
0.03133	-3553
0.03200	-3552
0.03267	-3552
0.03333	-3552
0.03400	-3551
0.03467	-3550
0.03533	-3550
0.03600	-3549
0.03667	-3548
0.03733	-3548
0.03800	-3548
0.03867	-3548
0.03933	-3548
0.04000	-3549
0.04067	-3549
0.04133	-3549
0.04200	-3549
0.04267	-3548
0.04333	-3548
0.04400	-3547
0.04467	-3547
0.04533	-3547
0.04600	-3547
0.04667	-3548
0.04733	-3549
0.04800	-3550
0.04867	-3551
0.04933	-3552
0.05000	-3553
0.05067	-3553
0.05133	-3553
0.05200	-3553
0.05267	-3553
0.05333	-3554
0.05400	-3554
0.05467	-3555
0.05533	-3555
0.05600	-3556
0.05667	-3556
0.05733	-3556
0.05800	-3555
0.05867	-3555
0.05933	-3556
0.06000	-3556
0.06067	-3557
0.06133	-3558
0.06200	-3559
0.06267	-3560
0.06333	-3561
0.06400	-3562
0.06467	-3563
0.06533	-3563
0.06600	-3563
0.06667	-3563
0.06733	-3563
0.06800	-3563
0.06867	-3563
0.06933	-3563
0.07000	-3564
0.07067	-3564
0.07133	-3563
0.07200	-3563
0.07267	-3562
0.07333	-3561
0.07400	-3559
0.07467	-3558
0.07533	-3557
0.07600	-3557
0.07667	-3556
0.07733	-3556
0.07800	-3555
0.07867	-3555
0.07933	-3554
0.08000	-3554
0.08067	-3553
0.08133	-3552
0.08200	-3551
0.08267	-3550
0.08333	-3550
0.08400	-3549
0.08467	-3549
0.08533	-3549
0.08600	-3548
0.08667	-3547
0.08733	-3546
0.08800	-3545
0.08867	-3544
0.08933	-3543
0.09000	-3542
0.09067	-3542
0.09133	-3541
0.09200	-3541
0.09267	-3541
0.09333	-3541
0.09400	-3540
0.09467	-3539
0.09533	-3539
0.09600	-3538
0.09667	-3537
0.09733	-3536
0.09800	-3535
0.09867	-3534
0.09933	-3533
0.10000	-3533
0.10067	-3532
0.10133	-3531
0.10200	-3531
0.10267	-3530
0.10333	-3529
0.10400	-3527
0.10467	-3525
0.10533	-3523
0.10600	-3521
0.10667	-3520
0.10733	-3518
0.10800	-3517
0.10867	-3515
0.10933	-3513
